company,year,category,value
Anglo American,2017,Total Worker Fatalities,9
Anglo American,2017,Employee Fatalities,Not Reported
Anglo American,2017,Contract Worker Fatalities,Not Reported
Anglo American,2017,Other Fatalities,Not Reported
Anglo American,2018,Total Worker Fatalities,5
Anglo American,2018,Employee Fatalities,Not Reported
Anglo American,2018,Contract Worker Fatalities,Not Reported
Anglo American,2018,Other Fatalities,Not Reported
AngloGold Ashanti,2017,Total Worker Fatalities,7
AngloGold Ashanti,2017,Employee Fatalities,7
AngloGold Ashanti,2017,Contract Worker Fatalities,0
AngloGold Ashanti,2017,Other Fatalities,34
AngloGold Ashanti,2018,Total Worker Fatalities,3
AngloGold Ashanti,2018,Employee Fatalities,2
AngloGold Ashanti,2018,Contract Worker Fatalities,1
AngloGold Ashanti,2018,Other Fatalities,39
Antofagasta,2017,Total Worker Fatalities,0
Antofagasta,2017,Employee Fatalities,0
Antofagasta,2017,Contract Worker Fatalities,0
Antofagasta,2017,Other Fatalities,0
Antofagasta,2018,Total Worker Fatalities,1
Antofagasta,2018,Employee Fatalities,0
Antofagasta,2018,Contract Worker Fatalities,1
Antofagasta,2018,Other Fatalities,Not Reported
ArcelorMittal,2017,Total Worker Fatalities,4
ArcelorMittal,2017,Employee Fatalities,Not Reported
ArcelorMittal,2017,Contract Worker Fatalities,Not Reported
ArcelorMittal,2017,Other Fatalities,Not Reported
ArcelorMittal,2018,Total Worker Fatalities,0
ArcelorMittal,2018,Employee Fatalities,0
ArcelorMittal,2018,Contract Worker Fatalities,0
ArcelorMittal,2018,Other Fatalities,Not Reported
Banpu,2017,Total Worker Fatalities,1
Banpu,2017,Employee Fatalities,0
Banpu,2017,Contract Worker Fatalities,1
Banpu,2017,Other Fatalities,1
Banpu,2018,Total Worker Fatalities,1
Banpu,2018,Employee Fatalities,0
Banpu,2018,Contract Worker Fatalities,1
Banpu,2018,Other Fatalities,0
Barrick Gold Corp,2017,Total Worker Fatalities,2
Barrick Gold Corp,2017,Employee Fatalities,Not Reported
Barrick Gold Corp,2017,Contract Worker Fatalities,Not Reported
Barrick Gold Corp,2017,Other Fatalities,Not Reported
Barrick Gold Corp,2018,Total Worker Fatalities,0
Barrick Gold Corp,2018,Employee Fatalities,0
Barrick Gold Corp,2018,Contract Worker Fatalities,0
Barrick Gold Corp,2018,Other Fatalities,Not Reported
BHP,2017,Total Worker Fatalities,2
BHP,2017,Employee Fatalities,0
BHP,2017,Contract Worker Fatalities,2
BHP,2017,Other Fatalities,Not Reported
BHP,2018,Total Worker Fatalities,1
BHP,2018,Employee Fatalities,1
BHP,2018,Contract Worker Fatalities,0
BHP,2018,Other Fatalities,Not Reported
Buenaventura,2017,Total Worker Fatalities,5
Buenaventura,2017,Employee Fatalities,Not Reported
Buenaventura,2017,Contract Worker Fatalities,Not Reported
Buenaventura,2017,Other Fatalities,Not Reported
Buenaventura,2018,Total Worker Fatalities,3
Buenaventura,2018,Employee Fatalities,Not Reported
Buenaventura,2018,Contract Worker Fatalities,Not Reported
Buenaventura,2018,Other Fatalities,Not Reported
Bumi Resources,2017,Total Worker Fatalities,2
Bumi Resources,2017,Employee Fatalities,0
Bumi Resources,2017,Contract Worker Fatalities,2
Bumi Resources,2017,Other Fatalities,0
Bumi Resources,2018,Total Worker Fatalities,4
Bumi Resources,2018,Employee Fatalities,0
Bumi Resources,2018,Contract Worker Fatalities,4
Bumi Resources,2018,Other Fatalities,0
China Shenhua,2017,Total Worker Fatalities,0
China Shenhua,2017,Employee Fatalities,Not Reported
China Shenhua,2017,Contract Worker Fatalities,Not Reported
China Shenhua,2017,Other Fatalities,Not Reported
China Shenhua,2018,Total Worker Fatalities,0
China Shenhua,2018,Employee Fatalities,Not Reported
China Shenhua,2018,Contract Worker Fatalities,Not Reported
China Shenhua,2018,Other Fatalities,Not Reported
Coal India,2017,Total Worker Fatalities,34
Coal India,2017,Employee Fatalities,Not Reported
Coal India,2017,Contract Worker Fatalities,Not Reported
Coal India,2017,Other Fatalities,Not Reported
Coal India,2018,Total Worker Fatalities,33
Coal India,2018,Employee Fatalities,Not Reported
Coal India,2018,Contract Worker Fatalities,Not Reported
Coal India,2018,Other Fatalities,Not Reported
CODELCO,2017,Total Worker Fatalities,2
CODELCO,2017,Employee Fatalities,2
CODELCO,2017,Contract Worker Fatalities,0
CODELCO,2017,Other Fatalities,Not Reported
CODELCO,2018,Total Worker Fatalities,4
CODELCO,2018,Employee Fatalities,2
CODELCO,2018,Contract Worker Fatalities,2
CODELCO,2018,Other Fatalities,Not Reported
ERG,2017,Total Worker Fatalities,6
ERG,2017,Employee Fatalities,3
ERG,2017,Contract Worker Fatalities,3
ERG,2017,Other Fatalities,Not Reported
ERG,2018,Total Worker Fatalities,5
ERG,2018,Employee Fatalities,1
ERG,2018,Contract Worker Fatalities,4
ERG,2018,Other Fatalities,Not Reported
Evraz,2017,Total Worker Fatalities,0
Evraz,2017,Employee Fatalities,0
Evraz,2017,Contract Worker Fatalities,0
Evraz,2017,Other Fatalities,Not Reported
Evraz,2018,Total Worker Fatalities,10
Evraz,2018,Employee Fatalities,6
Evraz,2018,Contract Worker Fatalities,4
Evraz,2018,Other Fatalities,Not Reported
Exxaro Resources,2017,Total Worker Fatalities,1
Exxaro Resources,2017,Employee Fatalities,1
Exxaro Resources,2017,Contract Worker Fatalities,0
Exxaro Resources,2017,Other Fatalities,Not Reported
Exxaro Resources,2018,Total Worker Fatalities,0
Exxaro Resources,2018,Employee Fatalities,0
Exxaro Resources,2018,Contract Worker Fatalities,0
Exxaro Resources,2018,Other Fatalities,Not Reported
First Quantum Minerals,2017,Total Worker Fatalities,3
First Quantum Minerals,2017,Employee Fatalities,Not Reported
First Quantum Minerals,2017,Contract Worker Fatalities,Not Reported
First Quantum Minerals,2017,Other Fatalities,Not Reported
First Quantum Minerals,2018,Total Worker Fatalities,2
First Quantum Minerals,2018,Employee Fatalities,Not Reported
First Quantum Minerals,2018,Contract Worker Fatalities,Not Reported
First Quantum Minerals,2018,Other Fatalities,Not Reported
Fortescue,2017,Total Worker Fatalities,0
Fortescue,2017,Employee Fatalities,0
Fortescue,2017,Contract Worker Fatalities,0
Fortescue,2017,Other Fatalities,Not Reported
Fortescue,2018,Total Worker Fatalities,0
Fortescue,2018,Employee Fatalities,0
Fortescue,2018,Contract Worker Fatalities,0
Fortescue,2018,Other Fatalities,Not Reported
Freeport-McMoRan,2017,Total Worker Fatalities,5
Freeport-McMoRan,2017,Employee Fatalities,3
Freeport-McMoRan,2017,Contract Worker Fatalities,2
Freeport-McMoRan,2017,Other Fatalities,Not Reported
Freeport-McMoRan,2018,Total Worker Fatalities,0
Freeport-McMoRan,2018,Employee Fatalities,0
Freeport-McMoRan,2018,Contract Worker Fatalities,0
Freeport-McMoRan,2018,Other Fatalities,Not Reported
Glencore,2017,Total Worker Fatalities,9
Glencore,2017,Employee Fatalities,3
Glencore,2017,Contract Worker Fatalities,6
Glencore,2017,Other Fatalities,Not Reported
Glencore,2018,Total Worker Fatalities,13
Glencore,2018,Employee Fatalities,7
Glencore,2018,Contract Worker Fatalities,6
Glencore,2018,Other Fatalities,Not Reported
Gold Fields,2017,Total Worker Fatalities,3
Gold Fields,2017,Employee Fatalities,2
Gold Fields,2017,Contract Worker Fatalities,1
Gold Fields,2017,Other Fatalities,1
Gold Fields,2018,Total Worker Fatalities,1
Gold Fields,2018,Employee Fatalities,Not Reported
Gold Fields,2018,Contract Worker Fatalities,Not Reported
Gold Fields,2018,Other Fatalities,1
Grupo México,2017,Total Worker Fatalities,3
Grupo México,2017,Employee Fatalities,Not Reported
Grupo México,2017,Contract Worker Fatalities,Not Reported
Grupo México,2017,Other Fatalities,Not Reported
Grupo México,2018,Total Worker Fatalities,1
Grupo México,2018,Employee Fatalities,0
Grupo México,2018,Contract Worker Fatalities,1
Grupo México,2018,Other Fatalities,Not Reported
Industrias Peñoles,2017,Total Worker Fatalities,4
Industrias Peñoles,2017,Employee Fatalities,Not Reported
