Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
Anglo American,Amandelbult,"Bushveld Complex, Dishaba, Tumela",79.6,South Africa,Underground,"Platinum, Palladium, Rhodium, Copper, Nickel, Gold",Operational,,,,-24.8083,27.3167,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Bank,,100,South Africa,Open-pit,Coal,"Care and maintenance, or closure or post-closure management",2008,,,-26.057,29.485,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Barro Alto,,100,Brazil,Open-pit,Nickel,Operational,,2004,2004,-15.079458,-48.94423,Yes,0,Not Reported,Not Reported,Not Reported,0,Not Reported,Not Reported,Not Reported
Anglo American,Bathopele,Bushveld Complex,100,South Africa,Underground,"Platinum, Palladium, Rhodium, Copper, Nickel, Gold",Operational,,,,-25.689,27.305,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Bokoni,,39,South Africa,Underground,"Platinum, Palladium, Rhodium","Care and maintenance, or closure or post-closure management",2017,,,-24.294,29.869,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Capcoal,"German Creek, Grasstree, Lake Lindsay, Oak Park, Corvus, Tieri, Aquila, Pleiades",70,Australia,"Open-pit, Underground",Coal,Operational,,,,-22.9089,148.5583,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Cerrejón,,33.33,Colombia,Open-pit,Coal,Operational,,1985,2000,11.070713,-72.639419,Yes,0,Not Reported,Not Reported,Not Reported,0,Not Reported,Not Reported,Not Reported
Anglo American,Codemin,,100,Brazil,Open-pit,Nickel,Operational,,,,-14.156836,-48.339837,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Collahuasi,,44,Chile,Open-pit,Copper,Operational,,,,-20.99,-68.635,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Damtshaa,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,,,-21.31,25.534,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Dartbrook,,83.3,Australia,Open-pit,Coal,Operational,,,,-32.1927,150.8968,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Dawson,,51,Australia,Open-pit,Coal,Operational,,,,-24.6093,150.0538,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Debmarine Namibia,,42.5,Namibia,Marine Mining,Diamond Carats,Operational,,,,-28.144554,15.867557,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,El Soldado,,50.1,Chile,Open-pit,Copper,Operational,,,,-32.6504,-71.1134,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Gahcho Kué,,43.35,Canada,Open-pit,Diamond Carats,Operational,,,,63.435008,-109.200867,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Goedehoop,,100,South Africa,"Open-pit, Underground",Coal,Operational,,,,-26.0892,28.9686,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Greenside,,100,South Africa,Underground,Coal,Operational,,,,-25.958,29.181,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Grosvenor,,100,Australia,Underground,Coal,Operational,,,,-21.974214,148.01072,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Isibonelo,,100,South Africa,Open-pit,Coal,Operational,,,,-26.4,29.219,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Jellinbah,,23.3,Australia,Open-pit,Coal,Operational,,,,-23.386,148.948,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Jwaneng,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,,,-24.524573,24.701983,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kleinkopje,,100,South Africa,Open-pit,Coal,Operational,,,,-25.987,29.21,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kolomela,,69.7,South Africa,Open-pit,Iron Ore,Operational,,,,-28.380759,22.96381,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kriel,,73,South Africa,"Open-pit, Underground",Coal,Operational,,,,-26.25856,29.190443,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Kroondal Platinum,,50,South Africa,Underground,"Platinum, Palladium, Rhodium, Gold",Operational,,1999,,-25.707,27.336,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Landau,,100,South Africa,Open-pit,Coal,Operational,,,,-25.872973,29.067064,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Letlhakane,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,,,-21.52,25.689,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Los Bronces,,50.1,Chile,Open-pit,"Copper, Molybdenum",Operational,,1925,2002,-33.149295,-70.285366,Yes,0,Not Reported,Not Reported,Not Reported,0,Not Reported,Not Reported,Not Reported
Anglo American,Mafube,Nooitgedacht,50,South Africa,Open-pit,Coal,Operational,,2007,2004,-25.801769,29.738061,Yes,0,0,0,Not Reported,0,0,0,Not Reported
Anglo American,Minas-Rio,,100,Brazil,Open-pit,Iron Ore,Operational,,,,-18.876528,-43.430703,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Mogalakwena,"Sandsloot, Zwartfontein",79.6,South Africa,Open-pit,"Platinum, Palladium, Rhodium, Copper, Gold, Nickel",Operational,,1993,1993,-23.971841,28.914658,Yes,Not Reported,Not Reported,Not Reported,Not Reported,0,Not Reported,Not Reported,Not Reported
Anglo American,Moranbah North,,88,Australia,Underground,Coal,Operational,,,,-21.876,147.964,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Namdeb,,42.5,Namibia,Open-pit,Diamond Carats,Operational,,,,-28.144554,15.867557,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,New Denmark,,100,South Africa,Underground,Coal,Operational,,,,-26.776,29.391,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,New Vaal,,100,South Africa,Open-pit,Coal,Operational,,,,-26.733,27.954,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Orapa,,42.5,Botswana,Open-pit,Diamond Carats,Operational,,1971,1971,-21.309107,25.369575,Yes,Not Reported,Not Reported,Not Reported,Not Reported,0,Not Reported,Not Reported,Not Reported
Anglo American,Peace River,Trend,100,Canada,Open-pit,Coal,Operational,,,,54.992,-121.012,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Anglo American,Sera Area,"SASA, MPT 25/2011",42.5,South Africa,Marine Mining,Diamond Carats,"Care and maintenance, or closure or post-closure management",2010,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
