name,country,company,percent_shares
Public Investment Corporation (SOC) Limited,South Africa,Anglo American,11.22%
"BlackRock Institutional Trust Company, N.A.",USA,Anglo American,5.93%
"Silchester International Investors, L.L.P.",UK,Anglo American,5.10%
"Genesis Investment Management, LLP",UK,Anglo American,4.03%
"Tarl Investment Holdings (RF) Pty, Ltd.",South Africa,Anglo American,3.44%
"Epoch Two Investment Holdings (RF) Pty, ltd.",UK,Anglo American,3.07%
Coronation Fund Managers Limited,South Africa,Anglo American,2.99%
"The Vanguard Group, Inc.",USA,Anglo American,2.60%
Norges Bank Investment Management (NBIM),Norway,Anglo American,2.25%
Schroder Investment Management Ltd. (SIM),UK,Anglo American,1.99%
Volcan Holdings Plc,Cyprus,Anglo American,1.80%
Legal & General Investment Management Ltd.,UK,Anglo American,1.68%
"Epoch Investment Holdings (RF) Pty, Ltd.",South Africa,Anglo American,1.66%
SAFE Investment Company Limited,Hong Kong,Anglo American,0.88%
"Dimensional Fund Advisors, L.P.",USA,Anglo American,0.87%
DZ PRIVATBANK S.A.,Luxembourg,Anglo American,0.74%
"Wellington Management Company, LLP",USA,Anglo American,0.72%
RWC Partners Limited,UK,Anglo American,0.70%
BlackRock Investment Management (UK) Ltd.,UK,Anglo American,0.67%
Artemis Investment Management LLP,UK,Anglo American,0.67%
"Sprucegrove Investment Management, Ltd.",Canada,Anglo American,0.65%
State Street Global Advisors (UK) Ltd.,UK,Anglo American,0.63%
Prudential Portfolio Managers (South Africa) (Pty) Ltd,South Africa,Anglo American,0.63%
Aberdeen Standard Investments (Edinburgh),UK,Anglo American,0.61%
BlackRock Advisors (UK) Limited,UK,Anglo American,0.57%
GIC Private Limited,Singapore,Anglo American,0.50%
UBS Asset Management (UK) Ltd.,UK,Anglo American,0.49%
M & G Investment Management Ltd.,UK,Anglo American,0.48%
"Northern Trust Investments, Inc.",USA,Anglo American,0.47%
Sanlam Investment Management (Pty) Ltd.,South Africa,Anglo American,0.45%
State Street Global Advisors (US),USA,Anglo American,0.43%
Union Investment Privatfonds GmbH,Germany,Anglo American,0.40%
Aberdeen Asset Investments Limited,UK,Anglo American,0.39%
Schweizerische Nationalbank,Switzerland,Anglo American,0.38%
Royal London Asset Management Ltd.,UK,Anglo American,0.34%
"Geode Capital Management, L.L.C.",USA,Anglo American,0.34%
"Arrowstreet Capital, Limited Partnership",USA,Anglo American,0.32%
Old Mutual Investment Group (South Africa) (Pty) Limited,South Africa,Anglo American,0.29%
"State Street Global Advisors (Japan) Co., Ltd.",Japan,Anglo American,0.28%
Investec Asset Management (Pty) Ltd.,South Africa,Anglo American,0.28%
Credit Suisse Asset Management,Switzerland,Anglo American,0.27%
JPMorgan Asset Management U.K. Limited,UK,Anglo American,0.27%
Principal Global Investors (Equity),USA,Anglo American,0.25%
Majedie Asset Management Limited,UK,Anglo American,0.24%
HSBC Global Asset Management (UK) Limited,UK,Anglo American,0.23%
Nuveen LLC,USA,Anglo American,0.23%
Van Eck Associates Corporation,USA,Anglo American,0.22%
APG Asset Management N.V.,Netherlands,Anglo American,0.22%
Florida State Board of Administration,USA,Anglo American,0.21%
Aviva Investors Global Services Limited,UK,Anglo American,0.20%
J O Hambro Capital Management Limited,UK,Anglo American,0.19%
Debswana Diamond Company (PTY) Ltd,Botswana,Anglo American,0.18%
STANLIB Asset Management Ltd.,South Africa,Anglo American,0.18%
Allianz Global Investors GmbH,Germany,Anglo American,0.17%
Fairtree Asset Management (Pty) Ltd,South Africa,Anglo American,0.17%
West Yorkshire Pension Fund,UK,Anglo American,0.16%
BlackRock Asset Management Deutschland AG,Germany,Anglo American,0.15%
Georgia Division of Investment Services,USA,Anglo American,0.15%
Investec Asset Management Ltd.,UK,Anglo American,0.15%
Jupiter Asset Management Ltd.,UK,Anglo American,0.15%
Cambiar Investors LLC,USA,Anglo American,0.15%
Vanguard Investments Singapore Pte. Ltd._NLE,Singapore,Anglo American,0.14%
Northern Trust Global Investments Limited,UK,Anglo American,0.14%
"AQR Capital Management, LLC",USA,Anglo American,0.13%
Jennison Associates LLC,USA,Anglo American,0.13%
Manulife Investment Management (Europe) Limited,UK,Anglo American,0.13%
Abax Investments (Pty) Limited,South Africa,Anglo American,0.12%
BlackRock Fund Advisors,USA,Anglo American,0.12%
Fidelity Management & Research Company,USA,Anglo American,0.11%
LSV Asset Management,USA,Anglo American,0.11%
Oasis Asset Management Ltd.,South Africa,Anglo American,0.11%
Mellon Investments Corporation,USA,Anglo American,0.10%
Momentum Asset Management (Pty) Ltd.,South Africa,Anglo American,0.10%
Amundi Deutschland GmbH,Germany,Anglo American,0.10%
Citadel Asset Management,South Africa,Anglo American,0.10%
"Charles Schwab Investment Management, Inc.",USA,Anglo American,0.10%
Sjunde AP-fonden,Sweden,Anglo American,0.09%
Ohio Public Employees Retirement System,USA,Anglo American,0.09%
Hosking Partners LLP,UK,Anglo American,0.09%
INVESCO Asset Management Limited,UK,Anglo American,0.09%
River and Mercantile Asset Management LLP,UK,Anglo American,0.09%
Newton Investment Management Ltd.,UK,Anglo American,0.09%
"BlackRock Financial Management, Inc.",USA,Anglo American,0.08%
"Invesco Advisers, Inc.",USA,Anglo American,0.08%
INVESCO Asset Management Deutschland GmbH,Germany,Anglo American,0.08%
MN Services N.V.,Netherlands,Anglo American,0.08%
Credit Suisse Family Wealth Management,USA,Anglo American,0.08%
Teacher Retirement System of Texas,USA,Anglo American,0.08%
Santander Asset Management UK Limited,UK,Anglo American,0.08%
Taquanta Asset Managers (Pty) Ltd,South Africa,Anglo American,0.08%
"T. Rowe Price Associates, Inc.",USA,Anglo American,0.07%
Columbia Threadneedle Investments (UK),UK,Anglo American,0.07%
Lazard Asset Management Limited,UK,Anglo American,0.07%
Canada Life Investments,UK,Anglo American,0.07%
Fidelity Institutional Asset Management,USA,Anglo American,0.07%
The National Farmers Union Mutual Insurance Society Limited,UK,Anglo American,0.07%
"Templeton Investment Counsel, L.L.C.",USA,Anglo American,0.06%
10X Investments (Pty) Ltd.,South Africa,Anglo American,0.06%
United Nations Joint Staff Pension Fund,USA,Anglo American,0.06%
Capfi Delen Asset Management,Belgium,Anglo American,0.06%
1832 Asset Management L.P.,Canada,Anglo American,0.06%
National Pension Service,South Korea,Anglo American,0.06%
Delen Private Bank Luxembourg S.A.,Luxembourg,Anglo American,0.06%
Grantham Mayo Van Otterloo & Co LLC,USA,Anglo American,0.06%
Vanguard Global Advisers LLC,USA,Anglo American,0.06%
California State Teachers Retirement System,USA,Anglo American,0.06%
JPMorgan Asset Management,USA,Anglo American,0.06%
Liontrust Asset Management PLC,UK,Anglo American,0.06%
Fisher Investments,USA,Anglo American,0.06%
Polar Capital LLP,UK,Anglo American,0.05%
BAE Systems Pension Funds Investment Management Ltd.,UK,Anglo American,0.05%
Royal London Asset Management (CIS) Limited,UK,Anglo American,0.05%
"Putnam Investment Management, L.L.C.",USA,Anglo American,0.05%
"Dimensional Fund Advisors, Ltd.",UK,Anglo American,0.05%
"Lord, Abbett & Co. LLC",USA,Anglo American,0.05%
Zürcher Kantonalbank (Asset Management),Switzerland,Anglo American,0.05%
Absa Asset Management (Pty) Limited,South Africa,Anglo American,0.05%
Irish Life Investment Managers Ltd.,Ireland,Anglo American,0.05%
Sanlam Multi-Manager International Limited,UK,Anglo American,0.05%
PGGM Vermogensbeheer B.V.,Netherlands,Anglo American,0.05%
CPP Investment Board,Canada,Anglo American,0.05%
PSP Investments,Canada,Anglo American,0.05%
Mitsubishi UFJ Trust and Banking Corporation,Japan,Anglo American,0.05%
"BlackRock Japan Co., Ltd.",Japan,Anglo American,0.04%
Trexquant Investment LP,USA,Anglo American,0.04%
California Public Employees' Retirement System,USA,Anglo American,0.04%
Cutifani (Mark),Australia,Anglo American,0.04%
Copper Rock Capital Partners LLC,USA,Anglo American,0.04%
Mondrian Investment Partners Ltd.,UK,Anglo American,0.04%
Swedbank Robur Fonder AB,Sweden,Anglo American,0.04%
DWS International GmbH,Germany,Anglo American,0.04%
New Jersey Division of Investment,USA,Anglo American,0.04%
Ivy Investment Management Company,USA,Anglo American,0.04%
Federated Investment Management Company,USA,Anglo American,0.04%
Investec Bank (Switzerland) AG,Switzerland,Anglo American,0.04%
Oregon Public Employees Retirement System,USA,Anglo American,0.04%
