Company name,Name of Tailing Storage Facility,Country,Status,Construction method,Impact-based hazard category,Guideline followed for hazard classification system,Latitude (Decimal degrees),Longitude (Decimal degrees)
Anglo American,Gahcho Kué Area 2 FINE PKC,Canada,Active,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),63.463619,-109.2117519
Anglo American,Gahcho Kué Course PKC Pile,Canada,Active,Dry stack,High,Anglo American Technical Standard (AA TS 602 001),63.443218,-109.1829519
Anglo American,Victor Fines PK storage  facility,Canada,Active,Downstream,Minor,"Anglo American Technical Standard (AA TS 602 001), CDA, Mine Rehabilitation Code of Ontario",52.82306667,-83.9387
Anglo American,Victor Coarse PK & Low  Grade Ore Stockpile,Canada,Active,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),52.81058056,-83.90633889
Anglo American,Victor Coarse PK &  Overburden Stockpile,Canada,Active,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),52.80784444,-83.92036944
Anglo American,Snap Lake North Pile ,Canada,Inactive,Hybrid,Minor,"Anglo American Technical Standard (AA TS 602 001), CDA, MAC",63.60527778,-110.8666667
Anglo American,Venetia FRDs,South Africa,Active,"Upstream, Modified Centreline, Downstream",Major,Anglo American Technical Standard (AA TS 602 001),-22.42825,29.29834167
Anglo American,Venetia CRD,South Africa,Active,Dry stack,Major,Anglo American Technical Standard (AA TS 602 001),-22.44953889,29.30402222
Anglo American,Voorspoed FRDs,South Africa,Inactive,Downstream,Moderate,Anglo American Technical Standard (AA TS 602 001),-27.38825833,27.20012222
Anglo American,Voorspoed CRD,South Africa,Inactive,Dry stack,Low,SANS 10286,-27.38476111,27.18371944
Anglo American,Namaqualand AK3 FRD,South Africa,Inactive,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-29.64221667,17.04088611
Anglo American,Namaqualand AK3 CRD,South Africa,Inactive,Dry stack,Low,SANS 10286,-29.64706389,17.044575
Anglo American,Namaqualand Bulk  Sample Plant FRD,South Africa,Inactive,In‐Pit,Minor,Anglo American Technical Standard (AA TS 602 001),-29.589625,17.03418889
Anglo American, Namaqualand Bulk  Sample CRD,South Africa,Inactive,Dry stack,Low,SANS 10286,-29.5866,17.04147778
Anglo American,Namaqualand Tweepad  FRD,South Africa,Inactive,Downstream,Moderate,Anglo American Technical Standard (AA TS 602 001),-29.45615,17.00144167
Anglo American,Namaqualand Tweepad  CRD,South Africa,Inactive,Dry stack,Low,SANS 10286,-29.45264167,17.02178889
Anglo American,The Oaks Paste  Paddocks ,South Africa,Closed,Downstream,Low,SANS 10286,-22.95604722,28.31139167
Anglo American,The Oaks Pase &  Tailings (Coarse) Co‐ disposal Residue  Paddocks ,South Africa,Closed,Downstream,Low,SANS 10286,-22.98532778,28.31239722
Anglo American,Moranbah North Mine ‐  Codisposal Area / CDA,Australia,Active,Upstream,Significant / High,Anglo American Technical Standard (AA TS 602 001),-21.872,147.948
Anglo American,Capcoal / Pit C Tailings  Dam,Australia,Active,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.922,148.57
Anglo American,Capcoal / Pit B1 Tailings  Dam,Australia,Inactive,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.962,148.552
Anglo American,Capcoal / Pit B2 Tailings  Dam,Australia,Inactive,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.95,148.556
Anglo American,Capcoal / Pit D  Tailings  Dam North,Australia,Inactive,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.888,148.566
Anglo American,Capcoal / Pit D Tailings  Dam South,Australia,Inactive,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.888,148.566
Anglo American,Capcoal / Pit F  Mine affected water,Australia,Inactive,In Pit,Significant / Moderate,Anglo American Technical Standard (AA TS 602 001),-22.965,148.56
Anglo American,Capcoal / Old Tailings  Dam,Australia,Closed,Centreline,N/A,Anglo American Technical Standard (AA TS 602 001),Not Reported,Not Reported
Anglo American,Dawson Nth TSF Cell,Australia,Active,In Pit,Low / Moderate,Anglo American Technical Standard (AA TS 602 001),-24.563,150.051
Anglo American,Dawson Nth TSF Cell 2,Australia,Inactive,In Pit,Low / Minor,Anglo American Technical Standard (AA TS 602 001),-24.5,179.604
Anglo American,Dawson 2A TSF,Australia,Inactive,In Pit,Low / Moderate,Anglo American Technical Standard (AA TS 602 001),-24.55,150.038
Anglo American,Dawson Nth Cell 1 TSF,Australia,Inactive,In Pit,Low / Insignificant,Anglo American Technical Standard (AA TS 602 001),-24.507,150.059
Anglo American,Dawson 1B South TSF,Australia,Inactive,In Pit,Low / High,Anglo American Technical Standard (AA TS 602 001),-24.557,179.959
Anglo American,Dawson Pit 2D TSF,Australia,Inactive,In Pit,Low / Minor,Anglo American Technical Standard (AA TS 602 001),-24.556,150.055
Anglo American,"Los Bronces, Perez Caldera",Chile,Inactive,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-33.22305556,-70.34388889
Anglo American,"Los Bronces, Las Tortolas",Chile,Active,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-33.12388889,-70.73222222
Anglo American,"El Soldado, Dams No. 1 and 2",Chile,Inactive,Landform,High,Anglo American Technical Standard (AA TS 602 001),-32.66416667,-71.14722222
Anglo American,"El Soldado, Dam No. 3",Chile,Inactive,Downstream,Moderate,Anglo American Technical Standard (AA TS 602 001),-32.66944444,-71.14416667
Anglo American,"El Soldado, Dam No. 4",Chile,Inactive,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-32.65861111,-71.16527778
Anglo American,"El Soldado, El Torito ",Chile,Active,"Centreline, Downstream",Major (main wall). Moderate (other walls),Anglo American Technical Standard (AA TS 602 001),-32.64055556,-71.16222222
Anglo American,Chagres Slag Heap,Chile,Active,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-32.80277778,-70.955
Anglo American,"Minas Rio, Serro da Sapo Tailings Dam",Brazil,Active,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-18.86083333,-43.40472222
Anglo American,Codemin: Dust  Reservoir Nº 1,Brazil,Active,Embankment type,Low,National Dams Security Policy: law Nº 12.334/2010.,-14.14944444,-48.34194444
Anglo American,Codemin: Dust  Reservoir Nº 2,Brazil,Active,Embankment type,Low,National Dams Security Policy: law Nº 12.334/2010.,-14.14722222,-48.34194444
Anglo American,Codemin: Dust  Reservoir Nº 3,Brazil,Active,Embankment type,Low,National Dams Security Policy: law Nº 12.334/2010.,-14.15361111,-48.34333333
Anglo American,Codemin: Slag Pile No. 1,Brazil,Inactive,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-14.15111111,-48.34555556
Anglo American,Codemin: Slag Pile No. 2,Brazil,Active,Dry stack,High,Anglo American Technical Standard (AA TS 602 001),-14.15722222,-48.34333333
Anglo American,Barro Alto: Slag Pile No.  1,Brazil,Active,Dry stack,High,Anglo American Technical Standard (AA TS 602 001),-15.08944444,-48.33805556
Anglo American,Sishen Mine (DMS  Dams 1 to 4 and JIG  infill Legs 1 to 4),South Africa,Active,Upstream,Major,Anglo American Technical Standard (AA TS 602 001),-27.74272222,23.04044444
Anglo American,Sishen Mine Dormant  Tailings Storage Facility  1 (near pit) ,South Africa,Inactive,Upstream,Moderate,Anglo American Technical Standard (AA TS 602 001),-27.76191667,22.97936111
Anglo American,Sishen Mine Dormant  Tailings Storage Facility  2,South Africa,Inactive,Upstream,Minor,Anglo American Technical Standard (AA TS 602 001),-27.77486111,22.96730556
Anglo American,Kolomela Mine Tailings  Facility,South Africa,Active,Water Retaining,Moderate,Anglo American Technical Standard (AA TS 602 001),-28.38069444,22.94605556
Anglo American,Goedehoop Bank 2 Co‐disposal,South Africa,Active,Downstream to Upstream,Major,Anglo American Technical Standard (AA TS 602 001),-25.96527778,29.45527778
Anglo American,Goedehoop Bank 5 Co‐disposal,South Africa,Closed,Downstream to Upstream,High,Anglo American Technical Standard (AA TS 602 001),-26.0075,29.45833333
Anglo American,Goedehoop Schoonie Dump,South Africa,Closed,Dry stack,Insignificant,Anglo American Technical Standard (AA TS 602 001),-25.98527778,29.44416667
Anglo American,Goedehoop Co‐disposal,South Africa,Active,Downstream,Major,Anglo American Technical Standard (AA TS 602 001),-26.09472222,29.42861111
Anglo American,Goedehoop Old Springbok No.1 ,South Africa,Closed,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-26.08722222,29.49833333
Anglo American,Goedehoop Old Springbok No.2 ,South Africa,Closed,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-26.09166667,29.33555556
Anglo American,Goedehoop Klein Shaft,South Africa,Closed,Dry stack,Insignificant,Anglo American Technical Standard (AA TS 602 001),-26.0475,29.30888889
Anglo American,Goedehoop Old Slurry Dams,South Africa,Active,Downstream,Minor,Anglo American Technical Standard (AA TS 602 001),-26.10444444,29.41972222
Anglo American,Goedehoop Hope Dump,South Africa,Closed,Unknown,Moderate,Anglo American Technical Standard (AA TS 602 001),-26.12027778,29.39805556
Anglo American,Khwezela Klippan Co‐disposal,South Africa,Active,"Downstream, Upstream",Major,Anglo American Technical Standard (AA TS 602 001),-25.98888889,29.21222222
Anglo American,Khwezela Landau 1 Dump,South Africa,Inactive,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-25.92277778,29.18777778
Anglo American,Khwezela Landau 2 Dump,South Africa,Inactive,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-25.9225,29.20694444
Anglo American,Khwezela Klipfontein Dump,South Africa,Active,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-25.94055556,29.21361111
Anglo American,Khwezela Slurry Dam 4 ,South Africa,Closed,Downstream,Minor,Anglo American Technical Standard (AA TS 602 001),-26.02333333,29.40388889
Anglo American,Khwezela Slurry Dam 5,South Africa,Closed,Downstream,Minor,Anglo American Technical Standard (AA TS 602 001),-26.03472222,29.42027778
Anglo American,Khwezela Kleinkopje Dump/Roof  Coal Dump combined,South Africa,Active,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-26.02166667,29.22138889
Anglo American,Khwezela Old Navigation Dump,South Africa,Inactive,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-25.91138889,29.16166667
Anglo American,Khwezela Anglo French,South Africa,Inactive,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-25.935,29.14888889
Anglo American,Khwezela Blaauwkrans Co‐ disposal (North ext. and  old combined),South Africa,Active,Dowstream,Major,Anglo American Technical Standard (AA TS 602 001),-25.92777778,29.15583333
Anglo American,Greenside Co‐disposal,South Africa,Active,"Downstream, Centreline",Major,Anglo American Technical Standard (AA TS 602 001),-25.96138889,29.18694444
Anglo American,Greenside Clydesdale Dump,South Africa,Inactive,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-25.94666667,29.16111111
Anglo American,Mafube Discards Dump,South Africa,Active,Dry stack,Moderate,Anglo American Technical Standard (AA TS 602 001),-25.80972222,29.75416667
Anglo American,Mafube De‐watered  Fines Dump,South Africa,Active,Dry stack,High,Anglo American Technical Standard (AA TS 602 001),-25.80916667,29.75777778
Anglo American,Vryheid Coronation Colliery No. 1 Dump,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.67194444,31.05555556
Anglo American,Vryheid Coronation  Colliery No. 2 Dump,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.67722222,31.04611111
Anglo American,Vryheid Coronation  Colliery No. 3 Dump,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.67055556,31.075
Anglo American,Vryheid Coronation  Colliery No. 4 Dump,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.66972222,31.08
Anglo American,Natal Anthracite  Colliery Boschoek,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.80861111,31.10555556
Anglo American,Ingagane No. 1,South Africa,Closed,Dry stack,Minor,Anglo American Technical Standard (AA TS 602 001),-27.87277778,30.04527778
