company,tax_jurisdiction
Anglo American,Angola
Anglo American,Anguilla
Anglo American,Argentina
Anglo American,Australia
Anglo American,Belgium
Anglo American,Bermuda
Anglo American,Venezuela
Anglo American,Botswana
Anglo American,Brazil
Anglo American,British Virgin Islands
Anglo American,Canada
Anglo American,Cayman Islands
Anglo American,Chile
Anglo American,China
Anglo American,Colombia
Anglo American,Cyprus
Anglo American,DRC
Anglo American,Ecuador
Anglo American,Finland
Anglo American,Gabon
Anglo American,Germany
Anglo American,Guernsey
Anglo American,Hong Kong
Anglo American,India
Anglo American,Indonesia
Anglo American,Ireland
Anglo American,Isle of Man
Anglo American,Israel
Anglo American,Italy
Anglo American,Japan
Anglo American,Jersey
Anglo American,Lesotho
Anglo American,Liberia
Anglo American,Luxembourg
Anglo American,Madagascar
Anglo American,Malta
Anglo American,Mauritius
Anglo American,Mexico
Anglo American,Mozambique
Anglo American,Namibia
Anglo American,Netherlands
Anglo American,Papua New Guinea
Anglo American,Peru
Anglo American,Philippines
Anglo American,Sierra Leone
Anglo American,Singapore
Anglo American,South Africa
Anglo American,Sweden
Anglo American,Switzerland
Anglo American,Tanzania
Anglo American,UAE
Anglo American,UK
Anglo American,USA
Anglo American,Zambia
Anglo American,Zimbabwe
AngloGold Ashanti,Argentina
AngloGold Ashanti,Australia
AngloGold Ashanti,Brazil
AngloGold Ashanti,Ghana
AngloGold Ashanti,Guinea
AngloGold Ashanti,Isle of Man
AngloGold Ashanti,Jersey
AngloGold Ashanti,Mali
AngloGold Ashanti,South Africa
AngloGold Ashanti,Tanzania
AngloGold Ashanti,USA
Antofagasta,Australia
Antofagasta,Bermuda
Antofagasta,British Virgin Islands
Antofagasta,Canada
Antofagasta,Chile
Antofagasta,China
Antofagasta,Jersey
Antofagasta,Peru
Antofagasta,Bolivia
Antofagasta,UK
Antofagasta,USA
ArcelorMittal,Argentina
ArcelorMittal,Belgium
ArcelorMittal,Bermuda
ArcelorMittal,Brazil
ArcelorMittal,Canada
ArcelorMittal,China
ArcelorMittal,Czechia
ArcelorMittal,France
ArcelorMittal,Germany
ArcelorMittal,Italy
ArcelorMittal,Kazakhstan
ArcelorMittal,Liberia
ArcelorMittal,Luxembourg
ArcelorMittal,Mexico
ArcelorMittal,Poland
ArcelorMittal,Romania
ArcelorMittal,South Africa
ArcelorMittal,Spain
ArcelorMittal,Turkey
ArcelorMittal,Ukraine
ArcelorMittal,USA
Banpu,Australia
Banpu,British Virgin Islands
Banpu,Cayman Islands
Banpu,China
Banpu,Hong Kong
Banpu,Indonesia
Banpu,Japan
Banpu,Mauritius
Banpu,Mongolia
Banpu,Singapore
Banpu,Thailand
Banpu,USA
Banpu,Viet Nam
Banpu,Lao PDR
Barrick Gold Corp,Argentina
Barrick Gold Corp,Australia
Barrick Gold Corp,Barbados
Barrick Gold Corp,British Virgin Islands
Barrick Gold Corp,Canada
Barrick Gold Corp,Cayman Islands
Barrick Gold Corp,Chile
Barrick Gold Corp,Côte d'Ivoire
Barrick Gold Corp,DRC
Barrick Gold Corp,Jersey
Barrick Gold Corp,Mali
Barrick Gold Corp,Mauritius
Barrick Gold Corp,Pakistan
Barrick Gold Corp,Papua New Guinea
Barrick Gold Corp,Peru
Barrick Gold Corp,Saudi Arabia
Barrick Gold Corp,Tanzania
Barrick Gold Corp,UK
Barrick Gold Corp,USA
Barrick Gold Corp,Zambia
BHP,Algeria
BHP,Anguilla
BHP,Argentina
BHP,Australia
BHP,Bermuda
BHP,Brazil
BHP,British Virgin Islands
BHP,Canada
BHP,Cayman Islands
BHP,Chile
BHP,China
BHP,Colombia
BHP,DRC
BHP,Ecuador
BHP,Guernsey
BHP,India
BHP,Indonesia
BHP,Ireland
BHP,Japan
BHP,Jersey
BHP,Liberia
BHP,Malaysia
BHP,Mexico
BHP,Netherlands
BHP,Panama
BHP,Papua New Guinea
BHP,Peru
BHP,Philippines
BHP,Saint Lucia
BHP,Singapore
BHP,South Africa
BHP,Switzerland
BHP,Trinidad and Tobago
BHP,UK
BHP,USA
BHP,Zambia
Bumi Resources,Australia
Bumi Resources,Cayman Islands
Bumi Resources,Indonesia
Bumi Resources,Mauritius
Bumi Resources,Netherlands
Bumi Resources,Seychelles
Bumi Resources,Singapore
Bumi Resources,USA
Bumi Resources,Yemen
MMG,Australia
MMG,British Virgin Islands
MMG,Canada
MMG,DRC
MMG,Hong Kong
MMG,Netherlands
MMG,Peru
MMG,Singapore
MMG,Switzerland
Coal India,India
Coal India,Mozambique
CODELCO,Bermuda
CODELCO,Brazil
CODELCO,Canada
CODELCO,Chile
CODELCO,China
CODELCO,Ecuador
CODELCO,Germany
CODELCO,Jersey
CODELCO,UK
CODELCO,USA
ERG,Brazil
ERG,DRC
ERG,Kazakhstan
ERG,Luxembourg
ERG,UK
ERG,Zambia
Evraz,Canada
Evraz,Cyprus
Evraz,Czechia
Evraz,Italy
Evraz,Kazakhstan
Evraz,Luxembourg
Evraz,Mexico
Evraz,Netherlands
Evraz,Russian Federation
Evraz,Singapore
Evraz,South Africa
Evraz,Switzerland
Evraz,Ukraine
Evraz,UK
Evraz,USA
Exxaro Resources,Australia
Exxaro Resources,Botswana
Exxaro Resources,China
Exxaro Resources,Hong Kong
Exxaro Resources,Netherlands
Exxaro Resources,South Africa
Exxaro Resources,Switzerland
Freeport-McMoRan,Indonesia
Freeport-McMoRan,Peru
Freeport-McMoRan,USA
Glencore,Antigua and Barbuda
Glencore,Argentina
Glencore,Australia
Glencore,Bermuda
Glencore,Brazil
Glencore,British Virgin Islands
Glencore,Canada
Glencore,Chile
Glencore,Colombia
Glencore,DRC
Glencore,France
Glencore,Germany
Glencore,Hong Kong
Glencore,Italy
Glencore,Jersey
Glencore,Kazakhstan
Glencore,Mauritania
Glencore,Netherlands
Glencore,New Caledonia
Glencore,Norway
Glencore,Peru
Glencore,Philippines
Glencore,Bolivia
Glencore,Russian Federation
Glencore,Singapore
Glencore,South Africa
Glencore,Spain
Glencore,Switzerland
Glencore,Tanzania
