company,stock_exchange,stock_exchange_country
Anglo American,Botswana Stock Exchange (BSE),Botswana
Anglo American,Johannesburg Stock Exchange (JSE),South Africa
Anglo American,London Stock Exchange (LSE),UK
Anglo American,Namibian Stock Exchange (NSX),Namibia
Anglo American,Swiss Exchange (SIX),Switzerland
AngloGold Ashanti,Australian Securities Exchange (ASX),Australia
AngloGold Ashanti,Johannesburg Stock Exchange (JSE),South Africa
AngloGold Ashanti,New York Stock Exchange (NYSE),USA
Antofagasta,London Stock Exchange (LSE),UK
ArcelorMittal,Amsterdam Stock Exchange (Euronext Amsterdam) (ENX),Netherlands
ArcelorMittal,Luxembourg Stock Exchange (LuxX),Luxembourg
ArcelorMittal,Madrid Stock Exchange (Bolsa de Madrid) (BME),Spain
ArcelorMittal,Metropolitan Stock Exchange of India Limited (MSE) ,India
ArcelorMittal,New York Stock Exchange Consolidated (NYSE),USA
Banpu,Stock Exchange of Thailand (SET),Thailand
Barrick,New York Stock Exchange (NYSE),USA
Barrick,Toronto Stock Exchange (TSX),Canada
BHP,Australian Securities Exchange (ASX),Australia
BHP,Johannesburg Stock Exchange (JSE),South Africa
BHP,London Stock Exchange (LSE),UK
BHP,New York Stock Exchange (NYSE),USA
Boliden,Stockholm Stock Exchange (STO) ,Sweden
Buenaventura,"Lima Stock Exchange, Bolsa de Valores de Lima (BVL)",Peru
Buenaventura,New York Stock Exchange Consolidated (NYSE),USA
Bumi Resources,Indonesia Stock Exchange (IDX),Indonesia
China Shenhua,Shanghai Stock Exchange (SSE),China
China Shenhua,Stock Exchange of Hong Kong (HKEX),Hong Kong
Coal India,Bombay Stock Exchange (BSE),India
Coal India,National Stock Exchange of India (NSE),India
Evraz,London Stock Exchange (LSE),UK
Exxaro,Johannesburg Stock Exchange (JSE),South Africa
First Quantum,Lusaka Stock Exchange (LUSE),Zambia
First Quantum,Toronto Stock Exchange (TSX),Canada
Fortescue,Australian Securities Exchange (ASX),Australia
Freeport-McMoRan,New York Stock Exchange Consolidated (NYSE),USA
Glencore,Johannesburg Stock Exchange (JSE),South Africa
Glencore,London Stock Exchange (LSE),UK
Gold Fields,Johannesburg Stock Exchange (JSE),South Africa
Gold Fields,New York Stock Exchange Consolidated (NYSE),USA
Grupo México,Mexico Stock Exchange (MexBol) (BMV),Mexico
KGHM,Warsaw Stock Exchange (WSE),Poland
MMG,Australian Securities Exchange (ASX),Australia
MMG,Stock Exchange of Hong Kong (HKEX),Hong Kong
Newcrest,Australian Securities Exchange (ASX),Australia
Newcrest,Port Moresby Stock Exchange Limited (POMSoX),Papua New Guinea
Newmont,New York Stock Exchange Consolidated (NYSE),USA
Newmont,Toronto Stock Exchange (TSX),Canada
NMDC,National Stock Exchange of India (NSE),India
Peñoles,Mexico Stock Exchange (MexBol) (BMV),Mexico
Polymetal,Astana International Exchane (AIX),Kazakhstan
Polymetal,London Stock Exchange (LSE),UK
Polymetal,PJSC Moscow Exchange MICEX-RTS (“Moscow Exchange”) (MOEX),Russian Federation
Rio Tinto,Australian Securities Exchange (ASX),Australia
Rio Tinto,London Stock Exchange (LSE),UK
Rio Tinto,New York Stock Exchange (NYSE),USA
RUSAL,PJSC Moscow Exchange MICEX-RTS (“Moscow Exchange”) (MOEX),Russian Federation
RUSAL,Stock Exchange of Hong Kong (HKEX),Hong Kong
Sibanye-Stillwater,Johannesburg Stock Exchange (JSE),South Africa
Sibanye-Stillwater,New York Stock Exchange Consolidated (NYSE),USA
Teck,New York Stock Exchange Consolidated (NYSE),USA
Teck,Toronto Stock Exchange (TSX),Canada
Vale,Amsterdam Stock Exchange (Euronext Amsterdam) (ENX),Netherlands
Vale,"B3 (former BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros (BVMF))",Brazil
Vale,LATIBEX (LATIBEX),Spain
Vale,New York Stock Exchange (NYSE),USA
Zijin,Shanghai Stock Exchange (SSE),China
Zijin,Stock Exchange of Hong Kong (HKEX),Hong Kong
